site	clim	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
farm	precip	94	143	246	258	369	368	406	396	292	147	74	68
farm	tmax	11.6	12	13.6	16	18.2	19.1	20	19.8	19.8	18.4	16.7	14
farm	tmin	3.8	3.9	6.7	8.7	11.7	12.9	13.3	13.3	12.5	10.1	7.4	5.3
betu	precip	123	201	377	422	529	580	507	442	344	160	72	78
betu	tmax	5.7	6	7.2	9.5	11.6	12.3	13.2	13	13.1	12.6	11.1	8.5
betu	tmin	-2.4	-2.5	0.2	2.3	5.5	7	7.5	7.5	6.4	4.5	1.7	-0.5
dangfeng	precip	152	191	196	187	227	265	198	219	250	193	149	147
dangfeng	tmax	17.5	17.4	19.6	23.4	27	29.2	31.4	31.1	29.6	25.7	22.6	19.4
dangfeng	tmin	12.1	12	13.9	17.2	20.9	23.1	24.7	24.6	23.2	20.1	17.3	14
ITO	precip	74	77	105	148	150	274	280	173	222	93	80	67
ITO	tmax	8.9	10	13.4	18.6	22.7	25.5	29.8	31.1	27.2	22.3	17.1	11.8
ITO	tmin	2.4	3	5.3	9.9	14.3	18.5	23.7	24.1	20	13.8	8.8	4.6
raizan	precip	93	105	158	205	234	405	461	243	274	115	90	76
raizan	tmax	4	5.1	9.1	14.5	18.6	21.3	24.9	26.1	22.5	17.7	12.5	6.8
raizan	tmin	-2.1	-1.6	1.2	6.1	10.4	14.7	19.3	19.7	15.9	9.9	4.9	0.1
