site	clim	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
farm	precip	94	143	246	258	369	368	406	396	292	147	74	68
farm	tmax	11.6	12	13.6	16	18.2	19.1	20	19.8	19.8	18.4	16.7	14
farm	tmin	3.8	3.9	6.7	8.7	11.7	12.9	13.3	13.3	12.5	10.1	7.4	5.3
betu	precip	123	201	377	422	529	580	507	442	344	160	72	78
betu	tmax	5.7	6	7.2	9.5	11.6	12.3	13.2	13	13.1	12.6	11.1	8.5
betu	tmin	-2.4	-2.5	0.2	2.3	5.5	7	7.5	7.5	6.4	4.5	1.7	-0.5
dangfeng	precip	152	191	196	187	227	265	198	219	250	193	149	147
dangfeng	tmax	17.5	17.4	19.6	23.4	27	29.2	31.4	31.1	29.6	25.7	22.6	19.4
dangfeng	tmin	12.1	12	13.9	17.2	20.9	23.1	24.7	24.6	23.2	20.1	17.3	14
ITO	precip	74	77	105	148	150	274	280	173	222	93	80	67
ITO	tmax	8.9	10	13.4	18.6	22.7	25.5	29.8	31.1	27.2	22.3	17.1	11.8
ITO	tmin	2.4	3	5.3	9.9	14.3	18.5	23.7	24.1	20	13.8	8.8	4.6
kawaradake	precip	82	95	121	170	182	330	365	177	240	100	78	68
kawaradake	tmax	6.7	7.7	11.4	16.9	21.2	24.1	27.9	29.2	25.3	20.4	15.3	9.8
kawaradake	tmin	-0.9	-0.3	2.1	7	11.6	16.2	21.2	21.4	17.4	10.7	5.5	1
kinabalu	precip	153	111	117	141	231	193	161	185	210	194	224	195
kinabalu	tmax	22.4	22.4	22.6	22.8	22.6	22.1	21.8	21.9	21.9	22.1	22.4	22.8
kinabalu	tmin	14.9	14.7	14.8	15	15.1	14.9	14.5	14.5	14.3	14.9	15.2	15.4
raizan	precip	93	105	158	205	234	405	461	243	274	115	90	76
raizan	tmax	4	5.1	9.1	14.5	18.6	21.3	24.9	26.1	22.5	17.7	12.5	6.8
raizan	tmin	-2.1	-1.6	1.2	6.1	10.4	14.7	19.3	19.7	15.9	9.9	4.9	0.1
sefuri	precip	97	112	168	215	252	435	502	260	281	119	92	78
sefuri	tmax	3	4.2	8.3	13.9	18	20.7	24.1	25.3	21.8	16.9	11.7	6
sefuri	tmin	-3.1	-2.4	0.4	5.4	9.8	14.1	18.6	19	15.1	9.1	4	-0.7
sympodiale	precip	120	205	410	425	549	565	495	465	316	152	63	77
sympodiale	tmax	7.7	8.1	9.5	11.9	14	14.8	15.7	15.5	15.6	14.7	13.1	10.5
sympodiale	tmin	-0.2	-0.3	2.5	4.6	7.7	9.1	9.5	9.6	8.6	6.4	3.6	1.5
taiwanianum	precip	125	184	337	349	480	480	448	442	303	154	74	75
taiwanianum	tmax	10.1	10.5	12	14.4	16.7	17.5	18.4	18.2	18.2	17	15.3	12.7
taiwanianum	tmin	2.2	2.3	5.2	7.1	10.1	11.5	11.8	11.9	11	8.6	5.9	3.8
wagasuki	precip	85	94	127	175	190	337	385	196	243	102	81	70
wagasuki	tmax	6.1	7.3	11.1	16.6	20.8	23.6	27.4	28.7	24.8	19.9	14.6	9.1
wagasuki	tmin	-0.7	-0.1	2.4	7.3	11.7	16.2	21.1	21.4	17.3	10.8	5.7	1.2
