species	ind	date	jday	julian	total	new	senesced
arbicolum	arb1	2013-05-02	122	13122	23	0	0
arbicolum	arb1	2013-06-02	153	13153	41	18	0
arbicolum	arb1	2013-07-07	188	13188	41	0	0
arbicolum	arb1	2013-08-09	221	13221	41	0	0
arbicolum	arb1	2013-09-14	257	13257	41	0	0
arbicolum	arb1	2013-10-12	285	13285	41	0	0
arbicolum	arb1	2013-11-09	313	13313	41	0	0
arbicolum	arb1	2013-12-28	362	13362	41	0	0
arbicolum	arb1	2014-03-09	68	14068	34	0	7
arbicolum	arb1	2014-03-22	81	14081	34	0	0
arbicolum	arb1	2014-04-13	103	14103	33	0	1
arbicolum	arb1	2014-04-26	116	14116	33	0	0
arbicolum	arb1	2014-05-17	137	14137	33	0	0
arbicolum	arb1	2014-06-01	152	14152	35	8	6
arbicolum	arb1	2014-06-21	172	14172	40	7	1
arbicolum	arb1	2014-08-17	229	14229	35	1	6
arbicolum	arb1	2014-10-04	277	14277	35	0	0
arbicolum	arb1	2014-11-03	307	14307	46	13	2
arbicolum	arb1	2014-11-22	326	14326	46	0	0
arbicolum	arb1	2014-12-27	361	14361	46	0	0
arbicolum	arb1	2015-02-02	33	15033	44	0	2
arbicolum	arb1	2015-02-28	59	15059	43	0	1
arbicolum	arb1	2015-03-29	88	15088	42	0	1
arbicolum	arb1	2015-04-26	116	15116	42	0	0
arbicolum	arb1	2015-06-02	153	15153	42	0	0
arbicolum	arb2	2013-05-02	122	13122	21	0	0
arbicolum	arb2	2013-06-02	153	13153	23	0	0
arbicolum	arb2	2013-07-07	188	13188	23	0	0
arbicolum	arb2	2013-08-09	221	13221	23	0	0
arbicolum	arb2	2013-09-14	257	13257	29	6	0
arbicolum	arb2	2013-10-12	285	13285	31	2	0
arbicolum	arb2	2013-11-09	313	13313	31	0	0
arbicolum	arb2	2013-12-28	362	13362	31	0	0
arbicolum	arb2	2014-03-09	68	14068	44	14	1
arbicolum	arb2	2014-03-22	81	14081	57	13	0
arbicolum	arb2	2014-04-13	103	14103	82	28	1
arbicolum	arb2	2014-04-26	116	14116	100	17	2
arbicolum	arb2	2014-05-17	137	14137	101	1	0
arbicolum	arb2	2014-06-01	152	14152	101	1	0
arbicolum	arb2	2014-06-21	172	14172	101	0	0
arbicolum	arb2	2014-08-17	229	14229	87	4	18
arbicolum	arb2	2014-10-04	277	14277	86	0	1
arbicolum	arb2	2014-11-03	307	14307	86	0	0
arbicolum	arb2	2014-11-22	326	14326	85	0	1
arbicolum	arb2	2014-12-27	361	14361	80	0	5
arbicolum	arb2	2015-02-02	33	15033	77	0	3
arbicolum	arb2	2015-02-28	59	15059	77	0	0
arbicolum	arb2	2015-03-29	88	15088	112	36	1
arbicolum	arb2	2015-04-26	116	15116	126	14	0
arbicolum	arb2	2015-06-02	153	15153	128	2	0
arbicolum	arb3	2013-05-02	122	13122	13	0	0
arbicolum	arb3	2013-06-02	153	13153	22	9	0
arbicolum	arb3	2013-07-07	188	13188	32	10	0
arbicolum	arb3	2013-08-09	221	13221	32	0	0
arbicolum	arb3	2013-09-14	257	13257	32	0	0
arbicolum	arb3	2013-10-12	285	13285	32	0	0
arbicolum	arb3	2013-11-09	313	13313	32	0	0
arbicolum	arb3	2013-12-28	362	13362	32	0	0
arbicolum	arb3	2014-03-09	68	14068	26	0	6
arbicolum	arb3	2014-03-22	81	14081	26	0	0
arbicolum	arb3	2014-04-13	103	14103	22	0	4
arbicolum	arb3	2014-04-26	116	14116	22	0	0
arbicolum	arb3	2014-05-17	137	14137	22	0	0
arbicolum	arb3	2014-06-01	152	14152	22	0	0
arbicolum	arb3	2014-06-21	172	14172	30	8	0
arbicolum	arb3	2014-08-17	229	14229	30	0	0
arbicolum	arb3	2014-10-04	277	14277	24	0	6
arbicolum	arb3	2014-11-03	307	14307	24	0	0
arbicolum	arb3	2014-11-22	326	14326	24	0	0
arbicolum	arb3	2014-12-27	361	14361	21	0	3
arbicolum	arb3	2015-02-02	33	15033	20	0	1
arbicolum	arb3	2015-02-28	59	15059	20	0	0
arbicolum	arb3	2015-03-29	88	15088	13	0	7
arbicolum	arb3	2015-04-26	116	15116	11	0	2
arbicolum	arb3	2015-06-02	153	15153	5	2	8
arbicolum	arb4	2013-05-02	122	13122	21	0	0
arbicolum	arb4	2013-06-02	153	13153	44	23	0
arbicolum	arb4	2013-07-07	188	13188	51	7	0
arbicolum	arb4	2013-08-09	221	13221	51	0	0
arbicolum	arb4	2013-09-14	257	13257	55	4	0
arbicolum	arb4	2013-10-12	285	13285	55	0	0
arbicolum	arb4	2013-11-09	313	13313	55	0	0
arbicolum	arb4	2013-12-28	362	13362	55	0	0
arbicolum	arb4	2014-03-09	68	14068	54	0	1
arbicolum	arb4	2014-03-22	81	14081	53	0	1
arbicolum	arb4	2014-04-13	103	14103	51	0	2
arbicolum	arb4	2014-04-26	116	14116	51	0	0
arbicolum	arb4	2014-05-17	137	14137	81	30	0
arbicolum	arb4	2014-06-01	152	14152	100	23	4
arbicolum	arb4	2014-06-21	172	14172	102	2	0
arbicolum	arb4	2014-08-17	229	14229	89	4	17
arbicolum	arb4	2014-10-04	277	14277	113	17	3
arbicolum	arb4	2014-11-03	307	14307	113	0	0
arbicolum	arb4	2014-11-22	326	14326	113	0	0
arbicolum	arb4	2014-12-27	361	14361	112	0	1
arbicolum	arb4	2015-02-02	33	15033	112	0	0
arbicolum	arb4	2015-02-28	59	15059	112	0	0
arbicolum	arb4	2015-03-29	88	15088	112	0	0
arbicolum	arb4	2015-04-26	116	15116	112	0	0
arbicolum	arb4	2015-06-02	153	15153	112	0	0
awabuki	awa1	2013-05-06	126	13126	30	0	0
awabuki	awa1	2013-06-06	157	13157	30	0	0
awabuki	awa1	2013-07-17	198	13198	30	0	0
awabuki	awa1	2013-08-20	232	13232	30	0	0
awabuki	awa1	2013-09-20	263	13263	30	0	0
awabuki	awa1	2013-10-17	290	13290	30	0	0
awabuki	awa1	2013-11-27	331	13331	30	0	0
awabuki	awa1	2013-12-19	353	13353	30	0	0
awabuki	awa1	2014-01-29	29	14029	30	0	0
awabuki	awa1	2014-02-19	50	14050	30	0	0
awabuki	awa1	2014-03-19	78	14078	36	6	0
awabuki	awa1	2014-03-26	85	14085	38	2	0
awabuki	awa1	2014-04-09	99	14099	40	2	0
awabuki	awa1	2014-04-22	112	14112	39	0	1
awabuki	awa1	2014-06-13	164	14164	35	0	4
awabuki	awa1	2014-07-29	210	14210	30	0	5
awabuki	awa1	2014-08-24	236	14236	30	0	0
awabuki	awa1	2014-09-23	266	14266	30	0	0
awabuki	awa1	2014-10-28	301	14301	30	0	0
awabuki	awa1	2014-11-18	322	14322	30	0	0
awabuki	awa2	2013-05-06	126	13126	35	0	0
awabuki	awa2	2013-06-06	157	13157	35	0	0
awabuki	awa2	2013-07-17	198	13198	34	0	1
awabuki	awa2	2013-08-20	232	13232	34	0	0
awabuki	awa2	2013-09-20	263	13263	34	0	0
awabuki	awa2	2013-10-17	290	13290	34	0	0
awabuki	awa2	2013-11-27	331	13331	34	0	0
awabuki	awa2	2013-12-19	353	13353	34	0	0
awabuki	awa2	2014-01-29	29	14029	34	0	0
awabuki	awa2	2014-02-19	50	14050	34	0	0
awabuki	awa2	2014-03-19	78	14078	40	6	0
awabuki	awa2	2014-03-26	85	14085	44	4	0
awabuki	awa2	2014-04-09	99	14099	50	6	0
awabuki	awa2	2014-04-22	112	14112	48	0	2
awabuki	awa2	2014-06-13	164	14164	34	0	14
awabuki	awa2	2014-07-29	210	14210	29	0	5
awabuki	awa2	2014-08-24	236	14236	28	0	1
awabuki	awa2	2014-09-23	266	14266	28	0	0
awabuki	awa2	2014-10-28	301	14301	27	0	1
awabuki	awa2	2014-11-18	322	14322	27	0	0
awabuki	awa3	2013-05-06	126	13126	21	0	0
awabuki	awa3	2013-06-06	157	13157	21	0	0
awabuki	awa3	2013-07-17	198	13198	20	0	1
awabuki	awa3	2013-08-20	232	13232	20	0	0
awabuki	awa3	2013-09-20	263	13263	20	0	0
awabuki	awa3	2013-10-17	290	13290	20	0	0
awabuki	awa3	2013-11-27	331	13331	20	0	0
awabuki	awa3	2013-12-19	353	13353	20	0	0
awabuki	awa3	2014-01-29	29	14029	20	0	0
awabuki	awa3	2014-02-19	50	14050	20	0	0
awabuki	awa3	2014-03-19	78	14078	24	4	0
awabuki	awa3	2014-03-26	85	14085	24	0	0
awabuki	awa3	2014-04-09	99	14099	33	9	0
awabuki	awa3	2014-04-22	112	14112	35	2	0
awabuki	awa3	2014-06-13	164	14164	22	0	13
