species	ind	date	jday	julian	total	new	senesced
luzonicum_farm	luz1	2013-05-02	122	13122	10	0	0
luzonicum_farm	luz1	2013-06-02	153	13153	10	0	0
luzonicum_farm	luz1	2013-07-07	188	13188	10	0	0
luzonicum_farm	luz1	2013-08-09	221	13221	10	0	0
luzonicum_farm	luz1	2013-09-14	257	13257	10	0	0
luzonicum_farm	luz1	2013-10-12	285	13285	10	0	0
luzonicum_farm	luz1	2013-11-09	313	13313	10	0	0
luzonicum_farm	luz1	2013-12-28	362	13362	10	0	0
luzonicum_farm	luz1	2014-03-10	69	14069	29	19	0
luzonicum_farm	luz1	2014-03-22	81	14081	34	5	0
luzonicum_farm	luz1	2014-04-13	103	14103	44	10	0
luzonicum_farm	luz1	2014-04-26	116	14116	44	0	0
luzonicum_farm	luz1	2014-05-17	137	14137	39	0	5
luzonicum_farm	luz1	2014-06-01	152	14152	41	2	0
luzonicum_farm	luz1	2014-06-21	172	14172	41	0	0
luzonicum_farm	luz1	2014-08-17	229	14229	40	0	1
luzonicum_farm	luz1	2014-10-04	277	14277	37	0	3
luzonicum_farm	luz1	2014-11-03	307	14307	36	0	1
luzonicum_farm	luz1	2014-11-22	326	14326	36	0	0
luzonicum_farm	luz1	2014-12-27	361	14361	36	0	0
luzonicum_farm	luz1	2015-02-02	33	15033	18	0	18
luzonicum_farm	luz1	2015-02-28	59	15059	32	4	0
luzonicum_farm	luz1	2015-03-29	88	15088	65	33	0
luzonicum_farm	luz1	2015-04-26	116	15116	65	0	0
luzonicum_farm	luz1	2015-06-02	153	15153	65	0	0
luzonicum_farm	luz2	2013-05-02	122	13122	12	0	0
luzonicum_farm	luz2	2013-06-02	153	13153	16	4	0
luzonicum_farm	luz2	2013-07-07	188	13188	16	0	0
luzonicum_farm	luz2	2013-08-09	221	13221	16	0	0
luzonicum_farm	luz2	2013-09-14	257	13257	16	0	0
luzonicum_farm	luz2	2013-10-12	285	13285	16	0	0
luzonicum_farm	luz2	2013-11-09	313	13313	16	0	0
luzonicum_farm	luz2	2013-12-28	362	13362	0	0	16
luzonicum_farm	luz2	2014-03-10	69	14069	0	0	0
luzonicum_farm	luz2	2014-03-22	81	14081	16	16	0
luzonicum_farm	luz2	2014-04-13	103	14103	16	0	0
luzonicum_farm	luz2	2014-04-26	116	14116	16	0	0
luzonicum_farm	luz2	2014-05-17	137	14137	15	0	1
luzonicum_farm	luz2	2014-06-01	152	14152	15	0	0
luzonicum_farm	luz2	2014-06-21	172	14172	15	0	0
luzonicum_farm	luz2	2014-08-17	229	14229	15	0	0
luzonicum_farm	luz2	2014-10-04	277	14277	12	0	3
luzonicum_farm	luz2	2014-11-03	307	14307	12	0	0
luzonicum_farm	luz2	2014-11-22	326	14326	10	0	2
luzonicum_farm	luz2	2014-12-27	361	14361	5	0	5
luzonicum_farm	luz2	2015-02-02	33	15033	3	0	2
luzonicum_farm	luz2	2015-02-28	59	15059	3	0	0
luzonicum_farm	luz2	2015-03-29	88	15088	20	17	0
luzonicum_farm	luz2	2015-04-26	116	15116	20	0	0
luzonicum_farm	luz2	2015-06-02	153	15153	20	0	0
luzonicum_farm	luz3	2013-05-02	122	13122	21	0	0
luzonicum_farm	luz3	2013-06-02	153	13153	25	4	0
luzonicum_farm	luz3	2013-07-07	188	13188	25	0	0
luzonicum_farm	luz3	2013-08-09	221	13221	25	0	0
luzonicum_farm	luz3	2013-09-14	257	13257	25	0	0
