species,n,bio06,bio15,habit,freezing_obj,freezing_expert,forest type
acerifolium,121,-8.220791083,0.125028298,deciduous,freezing,freezing,"cold, temperate"
acutifolium,9,7.911712222,0.796700333,evergreen,non-freezing,non-freezing,cloud forest
amplificatum,9,20.62267778,0.153280433,evergreen,non-freezing,non-freezing,tropical
anabaptista,10,12.23368,0.3338697,evergreen,non-freezing,non-freezing,cloud forest
atrocyaneum,50,-1.41442484,0.84508078,evergreen,freezing,freezing,"cold, temperate"
australe,12,4.2762425,0.624685083,deciduous,non-freezing,non-freezing,"cold, temperate"
ayavacense,9,5.122016667,0.666705444,evergreen,non-freezing,non-freezing,cloud forest
beccarii,3,16.50173333,0.260331667,evergreen,non-freezing,non-freezing,tropical
betulifolium,208,-2.581686265,0.738273904,deciduous,freezing,freezing,"cold, temperate"
blandum,8,9.45816375,0.814280625,evergreen,non-freezing,non-freezing,cloud forest
brachyandrum,6,4.8,0.3333333333,deciduous,non-freezing,non-freezing,"cold, temperate"
brachybotryum,85,2.674709976,0.655606094,evergreen,non-freezing,non-freezing,lucidophyllous
bracteatum,5,-2.04202,0.1632898,deciduous,freezing,freezing,"cold, temperate"
buddleifolium,5,-7.056398,0.7744246,deciduous,freezing,freezing,"cold, temperate"
burejaeticum,27,-21.89705185,0.915363556,deciduous,freezing,freezing,"cold, temperate"
carlesii,11,-6.501192273,0.700553545,deciduous,freezing,freezing,"cold, temperate"
cassinoides,159,-10.89629714,0.13061574,deciduous,freezing,freezing,"cold, temperate"
chingii,26,0.412594923,0.842104346,evergreen,non-freezing,NA,NA
cinnamomifolium,24,1.028251875,0.814680708,evergreen,non-freezing,non-freezing,lucidophyllous
clemensiae,5,18.8639,0.1917978,evergreen,non-freezing,non-freezing,tropical
colebrookeanum,3,9.250853333,0.882267333,evergreen,non-freezing,non-freezing,tropical
coriaceum,18,13.03247222,0.582136222,evergreen,non-freezing,non-freezing,tropical
costaricanum,32,15.29368844,0.536221938,evergreen,non-freezing,non-freezing,cloud forest
cotinifolium,27,-6.962668481,0.722979074,deciduous,freezing,freezing,"cold, temperate"
cylindricum,234,1.0387565,0.752575128,evergreen,non-freezing,non-freezing,lucidophyllous
davidii,4,-0.35049,0.84151825,evergreen,freezing,non-freezing,lucidophyllous
dentatum,77,-7.3233513,0.107911244,deciduous,freezing,freezing,"cold, temperate"
dilatatum,260,0.061166383,0.514358065,deciduous,non-freezing,freezing,"cold, temperate"
discolor,3,6.60318,0.795381667,evergreen,non-freezing,non-freezing,cloud forest
disjunctum,4,11.97365,0.64665575,evergreen,non-freezing,non-freezing,cloud forest
edule,434,-18.42123556,0.37708055,deciduous,freezing,freezing,"cold, temperate"
elatum,26,5.176247615,0.846864308,evergreen,non-freezing,non-freezing,cloud forest
ellipticum,39,-0.408554128,0.692536077,deciduous,freezing,non-freezing,"cold, temperate"
erosum,294,0.072528243,0.533631537,deciduous,non-freezing,freezing,"cold, temperate"
erubescens,116,-1.928010267,0.806300836,deciduous,freezing,freezing,"cold, temperate"
farreri,5,-10.204796,0.8175014,deciduous,freezing,freezing,"cold, temperate"
flavescens,10,-3.3737916,0.8811831,deciduous,freezing,freezing,"cold, temperate"
foetens,6,-4.208799,0.486032,deciduous,freezing,freezing,"cold, temperate"
foetidum,215,2.577733423,0.705301642,evergreen,non-freezing,non-freezing,lucidophyllous
furcatum,61,-6.304354197,0.391339918,deciduous,freezing,freezing,"cold, temperate"
grandiflorum,15,-9.304742,0.7331942,deciduous,freezing,freezing,"cold, temperate"
hallii,35,9.445964857,0.427230686,evergreen,non-freezing,non-freezing,cloud forest
hartwegii,58,11.98629328,0.759239259,evergreen,non-freezing,non-freezing,cloud forest
