species,bio06,bio15,habit,forest type
clemensiae,18.8639,0.1917978,evergreen,tropical
cassinoides,-10.89629714,0.13061574,deciduous,"cold, temperate"
nudum,2.110513196,0.205953029,deciduous,NA
lentago,-13.93686589,0.244667148,deciduous,"cold, temperate"
elatum,5.176247615,0.846864308,evergreen,cloud forest
rufidulum,-3.35802686,0.216704512,deciduous,"cold, temperate"
prunifolium,-6.003160478,0.185790193,deciduous,"cold, temperate"
punctatum,3.536276697,0.813465061,evergreen,tropical
lepidotulum,9.5236325,0.703847813,evergreen,tropical
macrocephalum,-1.915438735,0.58265327,deciduous,"cold, temperate"
utile,-0.872027741,0.626167966,evergreen,"cold, temperate"
carlesii,-6.501192273,0.700553545,deciduous,"cold, temperate"
schensianum,-7.727767211,0.796023873,deciduous,"cold, temperate"
cotinifolium,-6.962668481,0.722979074,deciduous,"cold, temperate"
rhytidophyllum,-0.79630851,0.615308,evergreen,"cold, temperate"
buddleifolium,-7.056398,0.7744246,deciduous,"cold, temperate"
veitchii,-6.787422682,0.732847682,deciduous,"cold, temperate"
mongolicum,-14.36738852,0.988561557,deciduous,"cold, temperate"
burejaeticum,-21.89705185,0.915363556,deciduous,"cold, temperate"
lantana,-1.705043868,0.232331797,deciduous,"cold, temperate"
nervosum,-4.8178945,0.874162054,deciduous,"cold, temperate"
sympodiale,0.339783512,0.597072833,deciduous,"cold, temperate"
lantanoides,-13.65739771,0.128773795,deciduous,"cold, temperate"
furcatum,-6.304354197,0.391339918,deciduous,"cold, temperate"
grandiflorum,-9.304742,0.7331942,deciduous,"cold, temperate"
foetens,-4.208799,0.486032,deciduous,"cold, temperate"
sieboldii,-2.977772121,0.371223909,deciduous,"cold, temperate"
odoratissimum,6.772140888,0.603561575,evergreen,lucidophyllous
farreri,-10.204796,0.8175014,deciduous,"cold, temperate"
suspensum,12.1537875,0.27857925,evergreen,lucidophyllous
taitoense,6.500599733,0.571223089,evergreen,lucidophyllous
henryi,0.201933708,0.599277417,evergreen,lucidophyllous
brachybotryum,2.674709976,0.655606094,evergreen,lucidophyllous
chingii,0.412594923,0.842104346,evergreen,NA
erubescens,-1.928010267,0.806300836,deciduous,"cold, temperate"
subalpinum,-2.18414,0.799342333,deciduous,NA
oliganthum,-1.188103521,0.780209605,evergreen,NA
plicatum,-1.295396305,0.47006157,deciduous,"cold, temperate"
lutescens,8.64642093,0.651354907,evergreen,tropical
colebrookeanum,9.250853333,0.882267333,evergreen,tropical
